"arbol_id","modelo_ganador","aic_browniano","aic_ou","intercepto","estimado","error_estandar","ic_inferior","ic_superior","valor_p"
"tree_5003","Browniano (corBrownian) -- OU no convergio",-10.6888419406097,NA,1.68419875053575,0.0384472932820706,0.0108321669051838,0.0172166362733836,0.0596779502907576,0.000458440783760303
"tree_8133","OU (corMartins)",62.4221916466473,-108.123853408562,1.55927476598112,0.0498465129926216,0.0105551773029532,0.0291587456283987,0.0705342803568445,3.82147857513855e-06
"tree_0530","OU (corMartins)",-186.26133561811,-215.378813951576,1.63621060132935,0.0381414983276987,0.00951141030125073,0.019499476695064,0.0567835199603334,7.94503448093756e-05
"tree_7177","OU (corMartins)",-107.815676257769,-172.2219157895,1.61669212299351,0.0357607629017437,0.0114501780963847,0.0133188262162602,0.0582026995872272,0.00199237966330403
"tree_8143","OU (corMartins)",-25.2715084125874,-115.648763389114,1.6960403130332,-0.000462467024308922,0.00954345899872543,-0.0191673029497454,0.0182423689011276,0.961387740570994
"tree_6052","OU (corMartins)",-118.202203902195,-177.235372456215,1.60850927818743,0.0426276033595458,0.00972582162494463,0.0235653432545935,0.0616898634644981,1.70303730907685e-05
"tree_1083","OU (corMartins)",-136.52412268374,-187.535293113087,1.60735107424671,0.0445084680942637,0.00993947380523105,0.0250274574107315,0.0639894787777958,1.13079740368367e-05
"tree_8946","OU (corMartins)",-134.589267914395,-187.008736441627,1.63575624708752,0.0294082620065809,0.00990922292701166,0.00998654195485951,0.0488299820583024,0.00328043905081064
"tree_1873","OU (corMartins)",17.7157604545918,-104.654955487755,1.59604242461111,0.0362896158543453,0.0120588214137602,0.012654760187375,0.0599244715213156,0.00287597118230428
"tree_1907","OU (corMartins)",77.7584219026427,-86.5544042740022,1.56020734340769,0.0468075337281835,0.0114441933735317,0.0243773268839495,0.0692377405724175,5.76141778279785e-05
"tree_8744","OU (corMartins)",-48.9121292184592,-139.687825015543,1.62805633896156,0.0265776429417786,0.0111804647911168,0.00466433462077156,0.0484909512627856,0.0181737970035179
"tree_2963","OU (corMartins)",-169.797988066088,-206.340086649496,1.60985784978107,0.050117920001972,0.00915866612044137,0.0321672642594798,0.0680685757444643,1.04843302009402e-07
"tree_4158","OU (corMartins)",36.7012257798041,-83.633259427795,1.6205546541582,0.0223394972137897,0.0112451429675294,0.000299421996428153,0.0443795724311513,0.0480215256311387
"tree_2286","OU (corMartins)",119.078991263592,-88.7093312933426,1.54506290051891,0.0496091069893487,0.0107081433908673,0.0286215316019581,0.0705966823767392,5.71713575901958e-06
"tree_3527","OU (corMartins)",31.1088655595207,-90.4407462754278,1.47710948083168,0.0967033547121423,0.00782500056726263,0.081366635421302,0.112040074002983,6.88527345637208e-28
"tree_4789","OU (corMartins)",-35.2621053277643,-130.26633496213,1.58312444371029,0.0502319363926062,0.011159771786891,0.0283591856146136,0.0721046871705987,1.02209795956285e-05
"tree_2180","OU (corMartins)",-149.877179125713,-191.792535730807,1.66532983568202,0.0198197276079246,0.00936824942756373,0.00145829613171171,0.0381811590841375,0.0353311504700955
"tree_9639","OU (corMartins)",187.725148022794,-81.7157468525504,1.53696374816781,0.050297202249157,0.0109366358185359,0.028861789932796,0.071732614565518,6.64696993620716e-06
"tree_8299","OU (corMartins)",-140.309985547894,-188.728206701246,1.68833410668195,0.0107986128300484,0.00874656185151538,-0.00634433338747372,0.0279415590475705,0.218093765864035
"tree_1689","OU (corMartins)",-163.64201247106,-196.401748578282,1.67570638485693,0.0172829660271837,0.00953537359331341,-0.00140602279484483,0.0359719548492123,0.0710651510462875
"tree_5572","OU (corMartins)",80.2553225101345,-92.283981954147,1.5634134030946,0.0473034584892509,0.0110351075925091,0.0256750450424086,0.0689318719360932,2.56106408275746e-05
